dai,rong,chin,loai,loai1
285,147,4.6,1,1
291,159,4.7,1,1
281,125,3.4,1,1
295,166,4.9,1,1
298,166,5,1,1
304,166,4.9,1,1
305,162,4.9,1,1
311,160,4.9,1,1
307,158,4.9,1,1
305,157,4.8,1,1
301,158,4.8,1,1
295,157,4.8,1,1
289,152,4.8,1,1
283,126,3.4,1,1
284,154,4.7,1,1
277,154,4.6,1,1
274,153,4.5,1,1
269,152,4.4,1,1
266,153,4.3,1,1
263,156,4.3,1,1
264,157,4.2,1,1
268,158,4.3,1,1
271,153,4.4,1,1
271,152,4.4,1,1
283,125,3.5,1,1
271,155,4.5,1,1
272,155,4.6,1,1
274,154,4.6,1,1
276,149,4.7,1,1
277,145,4.6,1,1
278,145,4.6,1,1
280,149,4.5,1,1
279,150,4.3,1,1
276,152,4.2,1,1
268,146,4.1,1,1
279,127,3.5,1,1
264,155,4,1,1
259,160,4.1,1,1
260,167,4.2,1,1
262,177,4.3,1,1
261,182,4.4,1,1
261,188,4.4,1,1
258,192,4.3,1,1
257,193,4.3,1,1
256,182,4.2,1,1
258,182,4,1,1
275,124,3.6,1,1
256,180,3.9,1,1
258,179,3.8,1,1
263,175,3.8,1,1
265,170,3.8,1,1
267,164,3.7,1,1
271,159,3.7,1,1
272,152,3.7,1,1
275,143,3.6,1,1
280,122,3.3,1,1
275,133,3.5,1,1
276,122,3.5,1,1
273,119,3.7,1,1
278,118,3.5,1,1
281,134,3.6,1,1
275,121,3.8,1,1
273,135,4.1,1,1
275,147,4.3,1,1
275,168,4.5,1,1
279,171,4.5,1,1
279,172,4.5,1,1
281,170,4.5,1,1
284,165,4.5,1,1
287,160,4.4,1,1
283,124,3.4,1,1
290,153,4.4,1,1
292,149,4.4,1,1
292,145,4.4,1,1
296,141,4.4,1,1
293,140,4.3,1,1
286,148,4.3,1,1
282,146,4.4,1,1
281,144,4.5,1,1
212,181,4.1,1,1
213,179,4,1,1
256,258,5.5,1,1
218,176,3.9,1,1
220,175,3.8,1,1
221,173,3.8,1,1
224,169,3.8,1,1
230,194,3.9,1,1
235,211,4,1,1
233,216,4.1,1,1
234,224,4.2,1,1
233,232,4.4,1,1
236,238,4.5,1,1
252,253,5.3,1,1
243,244,4.7,1,1
245,250,4.8,1,1
238,249,4.8,1,1
236,250,4.8,1,1
243,252,4.7,1,1
241,252,4.6,1,1
285,147,8.7,1,2
291,159,8.8,1,2
281,125,9.2,1,2
295,166,8.8,1,2
298,166,8.8,1,2
304,166,8.8,1,2
305,162,8.8,1,2
311,160,8.9,1,2
307,158,8.9,1,2
305,157,9.1,1,2
301,158,9.2,1,2
295,157,9.2,1,2
289,152,9.2,1,2
283,126,9.2,1,2
284,154,9.3,1,2
277,154,9.4,1,2
274,153,9.4,1,2
269,152,9.5,1,2
266,153,9.5,1,2
263,156,9.5,1,2
264,157,9.5,1,2
268,158,9.5,1,2
271,153,9.5,1,2
271,152,9.5,1,2
283,125,9.1,1,2
271,155,9.5,1,2
272,155,9.5,1,2
274,154,9.4,1,2
276,149,9.4,1,2
277,145,9.4,1,2
278,145,9.5,1,2
280,149,9.5,1,2
279,150,9.5,1,2
276,152,9.5,1,2
268,146,9.5,1,2
279,127,9,1,2
264,155,9.5,1,2
259,160,9.5,1,2
260,167,9.5,1,2
262,177,9.5,1,2
261,182,9.5,1,2
261,188,9.5,1,2
258,192,9.4,1,2
257,193,9.4,1,2
256,182,9.4,1,2
258,182,9.4,1,2
275,124,8.9,1,2
256,180,9.4,1,2
258,179,9.4,1,2
263,175,9.3,1,2
265,170,9.4,1,2
267,164,9.4,1,2
271,159,9.3,1,2
272,152,9.3,1,2
275,143,9.3,1,2
280,122,9.3,1,2
275,133,9.3,1,2
276,122,9.3,1,2
273,119,8.9,1,2
278,118,9.2,1,2
281,134,9.2,1,2
275,121,8.9,1,2
273,135,9,1,2
275,147,9,1,2
275,168,9,1,2
279,171,9,1,2
279,172,9,1,2
281,170,8.9,1,2
284,165,8.8,1,2
287,160,8.8,1,2
283,124,9.3,1,2
290,153,8.8,1,2
292,149,8.7,1,2
292,145,8.7,1,2
296,141,8.7,1,2
293,140,8.7,1,2
286,148,8.7,1,2
282,146,8.6,1,2
281,144,8.7,1,2
212,181,9.6,1,2
213,179,9.6,1,2
256,258,9.2,1,2
218,176,9.6,1,2
220,175,9.6,1,2
221,173,9.6,1,2
224,169,9.5,1,2
230,194,9.6,1,2
235,211,9.6,1,2
233,216,9.6,1,2
234,224,9.6,1,2
233,232,9.6,1,2
236,238,9.6,1,2
252,253,9.2,1,2
243,244,9.7,1,2
245,250,9.6,1,2
238,249,9.6,1,2
236,250,9.7,1,2
243,252,9.7,1,2
241,252,9.7,1,2
241,246,9.7,1,2
473,528,4.6,2,1
472,528,4.7,2,1
472,566,3.4,2,1
471,527,4.9,2,1
468,528,5,2,1
471,529,4.9,2,1
471,529,4.9,2,1
455,529,4.9,2,1
469,529,4.9,2,1
469,530,4.8,2,1
470,530,4.8,2,1
447,531,4.8,2,1
448,530,4.8,2,1
429,564,3.4,2,1
422,530,4.7,2,1
415,528,4.6,2,1
408,529,4.5,2,1
395,534,4.4,2,1
397,537,4.3,2,1
400,541,4.3,2,1
464,543,4.2,2,1
405,545,4.3,2,1
409,546,4.4,2,1
412,548,4.4,2,1
412,561,3.5,2,1
413,550,4.5,2,1
413,551,4.6,2,1
409,552,4.6,2,1
406,553,4.7,2,1
578,554,4.6,2,1
574,555,4.6,2,1
572,556,4.5,2,1
574,555,4.3,2,1
572,556,4.2,2,1
569,556,4.1,2,1
